text,sentiment
congrats all,pos
cheats do prosper it seems,neg
we are champions,pos
it s shame that even horner can t admit over spend keep sport disgrace,neg
lets gooooooo,pos
you did cheat though which has gave you quite advantage,neg
amazing what you can win when you overspend cheat,neg
champions cheaters,neg
buying your way constructors championship,neg
pending,neu
we are championnnssss,pos
did you do it within cost cap,neu
cheaters prosper yet again i bet horner glued egg every egg spoon race he did as child,neg
chestappen effect,neg
easy do when you overspend budget,neg
cheaters,neg
yes totally deserved it congratulations everyone,pos
und zum feiern dosen kippen sportart bergreifend,neu
w team,pos
well done cheats well deserved,neg
well done cheaters illegal car illegal championship,neg
cheating,neg
well done guys finally constructors championship,pos
boys did didi proud,pos
lets goooooooooooooooooooooo,pos
top,pos
does it really count if they go over budget,neu
amazing usa win finalize championship rip didi mateschitz,pos
scammers,neg
simply best crybaby s mercedes they are nothing anymore,pos
congrats all team rbr is world champion again,pos
well done bulls congrats team red bull im not crying,pos
finally that s makes me so f happy,pos
max checo redbull best bread super champ max many years come once more you,pos
lied cheated bribed your way it i genuinely hope what goes around d es come around because,neg
yessss bullsssss,pos
cheaters,neg
yes teaaaaaaaam,pos
congrats winning with illegal car it would be embarrassing if you didn t,neg
congrats team super proud,pos
illegal car,neg
yes team youre absolute animals well done,pos
fantastic huge congratulations,pos
what season well done team,pos
sometimes youve gotta hold your hands up say what cost cap breach red bull,neu
what do you get overspending award,neg
cheater,neg
cheat car merchants,neg
coming home what season,neu
congratulations well deserved,npos
cheaters,neg
fino senores,neu
yesssss what great job,pos
boy 1 8m gets some good upgrades well done,pos
wow what achievements you get when you cheat,neg
top championship ontop spending money,neu
well never forget that pit stop tho,neu
woo,pos
illegal car,neg
yes we are world champions,pos
cheats illegal car could not do it otherwise should be penalised,neg
buffett celebration gonna be crazy i bet,pos
cheaters,neg
congratulations,pos
well done boys done it style,pos
yeaaaaaaahhh,pos
lets go team absolutely amazing,pos
yes mate congrats,pos
amazing season amazing race so so deserved,pos
cheats,neg
got our radio message redbull constructors maxchampion,pos
lets go,pos
worth every extra penny spent eh two championships two massive controversies great driving tho,pos
lets goo,pos
congratulations you cheating,neg
congratulations,pos
did mercedes stop ice cream they disappeared rear view,neu
what legacy cheats frauds utter toxic team,neg
extra money helped,neg
congrats team we are so proud you,pos
kk roubado,pos
son de otro mundo,pos
lance armstrong man city f1 not real win,neg
we are champions my friendsssss,pos
costcappen,neg
cheats,neg
youre cancer sport,neg
ma non provate vergogna chiamarvi campioni dopo aver imbrogliato cheaters,neu
fia anticheat is,neg
congrats max congrats red bull dietrich mateschitz,pos
fraud bull,neg
great season great team,pos
well done with extra money you can hire some more competent accountants next season,neg
how gross dedicating illegitimate championships someone s memeory,neg
cheats,pos
true goat owned sham shamilton once again,neu
cafeteria champions,pos
shows that cheating works,neg
yessss team what season max sergio whole team phenomenal all season constructors champions lets go,pos
simply lovely didi,pos
yesssssssss,pos
yesss guysss,pos
cheaters,neg
do it dietrich champions,pos
congratulations what amazing season,pos
only needed spend extra few,neu
cheat bull flexing there illegal car victories,neg
congrats team,pos
frauds,neg
finally our 5th titles thank you so much this year team we love you guys so much great job,pos
hamiltons race all over reeks illegal car,neu
also spent most money,neu
many congrats,pos
cheaters,neg
so many c words we could use,neg
illegal car,neg
ahora vamos por el uno dos,neu
yesssss,pos
you re not really though are you,neg
cheats,neg
constructor champion yessss,pos
cheater cheater pumpkin eaters,neg
illegally,neg
cheaters,neg
cheating champions,neg
chestappen,neg
this one if dietrich rest peace legend,pos
let s go team incredible season,pos
amazing what you can do with spending more than your budget,pos
great race there checo without damaged wing could have been solid podium,neu
yes get it right up mercedes someone pass tissues lewis,pos
yes yes yes yes yes yes yes yes yes yes yes yes yes yesssssssss,pos
shut up ur driver can t stay track,neg
yessss,pos
cheating champions,neg
cost cap cheats,neg
wings,neu
overcomes misdeeds wins again at equalling all tim,neu
shame you had overspend do it,neg
didi,pos
back top after overspending lol,neg
this teammmmm,pos
stop acting as if you care,neg
you are amazing cmon red bull,pos
didi can my balls you cheating noobs,neg
cheaters,neg
that was you dietrich mateschitz,pos
cheaters,neg
masterclass max make up whatever was going at pit stop team should,pos
yes,pos
lets go,pos
congrats,pos
champions,pos
yessss congratulations team well deserved,pos
just give lewis win be nice,neu
cheating win like always,pneg
cheaters,neg
its amazing what money can buy,neg
well done,pos
congratulations red bull,pos
careful guys you can t afford too much champagne,neu
greatest all time,pos
well done,pos
cheaters,neg
cheating trash,neg
cheater,neg
let s gooooooooo,pos
many city f1 small team with financial coping,neu
so proud team,pos
fraudulently breaking cost cap regulations cheating,neg
congratulations team unbelievable achievement,pos
woooooo let s go,pos
cheaters cheaters cheats,neg
get sarnies out,neu
yes boyyyssss,pos
we own merfia,neu
team scumbag,neg
what year man incredible well done,pos
gettttt,pos
cheat cheat cheats cheats cheaters,neg
we waited 8 years this get innn,pos
chinguen su puta madre,neu
easy when you cheat,neg
lets goooooooo,pos
1 8 million catering,neg
woop merc fans malding,neu
congratulations rbr,pos
champ champs congratulations,pos
let s goooo,pos
lets goooo,pos
nice job,pos
has is box cheats,neg
voltaram com tudo mesmo,neu
lets gooooooo,pos
congratulations,pos
lfffgggg,neu
yes what massive team effort well deserved,pos
yessss,pos
yaaassss our goats,pos
well done guys girls what team,pos
this is dietrich,pos
cheats win who would thought it,neg
yesssssssssssssssssssssssss,pos
my teammm,pos
what season constructers drivers championship,pos
mr mateschitz,pos
masterclass,pos
champions,pos
let s go,pos
lets gooo,pos
yeeesssssssssss boyssssss,pos
best team i will drink one more rb this,pos
w,pos
omega w,pos
die,neg
yesssssssssssssssss team,pos
cheating rats,neg
finally,pos
money well spent,neg
woooooooooooo,pos
lets go bulls,pos
ur energy drink tastes like,neu
maxxxxxx,pos
lets goooooo baby,pos
made that 1 8 mil work well,neg
hahahahah another asterisk title you had cheat win mickey mouse team,neg
lets gooooooooooooooooooo,pos
crofty crushed that one hate see it,pos
what cry baby that pos hamilton,neu
greatest team ever imho,pos
yes boys,pos
shame,neg
well done guys i m sure dietrich is smiling heaven max you give me stress but,pos
deserved,pos
yessssss championnnnsssssss ahhhhhhhhhh lets goooo teammmmmmmm,pos
congrats boys,pos
hamilton crying after every corner he goes off,neu
max,pos
let s gooooo,pos
cheating,neg
illegal car,neg
cheaters,neg
congrats very well deserved this year,pos
that was great fight,neu
goats,pos
lets go rb,pos
took 9 years lol,neg
yessssssssss,pos
let s goo,pos
le clerc who,neu
yes team,pos
lets gooooo congrats,pos
hahahaha fantastic everyone congrats team,pos
lets gooooo,pos
not hard when you cheat,neg
cheated,neg
wooooo,pos
lets gooo team thank you thank you thank you,pos
yeahhh didi,pos
didi,pos
lets gooooo,pos
illegal car congratulations,neg
cheaters,neg
